accidents,total_deaths,suicide,births,cases,covid_deaths,pandemic,non_covid_deaths,sa_deaths,sa_births
72.0,1564.0,18.0,3820.0,,,False,1564.0,1694.8644460111807,3551.4936281677747
50.0,1568.0,30.0,3705.0,,,False,1568.0,1723.7947328931593,3508.51922492375
72.0,1567.0,29.0,3654.0,,,False,1567.0,1641.3102142440296,3465.429212970682
73.0,1645.0,31.0,3540.0,,,False,1645.0,1684.6277692619503,3535.90974854982
97.0,1855.0,25.0,3530.0,,,False,1855.0,1601.7302053908268,3553.682653379379
86.0,2033.0,27.0,3424.0,,,False,2033.0,1637.232229335791,3487.7509982632005
80.0,1847.0,27.0,3156.0,,,False,1847.0,1828.9833299118602,3450.0573068132076
95.0,1902.0,20.0,3265.0,,,False,1902.0,1854.4914438361732,3324.347703311408
88.0,1715.0,22.0,3150.0,,,False,1715.0,1803.431036861815,3287.8709645916224
74.0,1664.0,34.0,3266.0,,,False,1664.0,1731.564853557858,3343.051161047568
78.0,1614.0,26.0,3309.0,,,False,1614.0,1724.898049172641,3450.882012164346
88.0,1672.0,27.0,3503.0,,,False,1672.0,1753.6956300787501,3345.917767571248
77.0,1585.0,31.0,3582.0,,,False,1585.0,1717.621577319515,3330.222559187688
63.0,1571.0,27.0,3462.0,,,False,1571.0,1727.0928095504803,3278.405818268832
90.0,1694.0,29.0,3463.0,,,False,1694.0,1774.3328034010124,3284.286087716878
73.0,1606.0,26.0,3415.0,,,False,1606.0,1644.6882659177459,3411.0541783326653
96.0,1972.0,27.0,3282.0,,,False,1972.0,1702.7557762968788,3304.0188295725557
83.0,2211.0,32.0,3252.0,,,False,2211.0,1780.580648825103,3312.5485532569883
65.0,1820.0,35.0,3043.0,,,False,1820.0,1802.2467029992342,3326.5286389837106
83.0,1934.0,33.0,3153.0,,,False,1934.0,1885.6921411036587,3210.3118862299757
63.0,1712.0,13.0,3063.0,,,False,1712.0,1800.2763470014154,3197.063099855282
71.0,1659.0,31.0,3147.0,,,False,1659.0,1726.3618341661577,3221.243724377433
89.0,1691.0,24.0,3125.0,,,False,1691.0,1807.1887243810013,3258.992531886848
89.0,1666.0,35.0,3300.0,,,False,1666.0,1747.4024639421039,3152.020734509026
73.0,1717.0,34.0,3472.0,,,False,1717.0,1860.6664026861874,3227.954418062438
89.0,1685.0,38.0,3221.0,,,False,1685.0,1852.419722528682,3050.186349117246
92.0,1708.0,36.0,3457.0,,,False,1708.0,1788.9967108671365,3278.595727761261
87.0,1671.0,23.0,3294.0,,,False,1671.0,1711.254104824753,3290.1939863624593
83.0,1833.0,32.0,3085.0,,,False,1833.0,1582.733944194817,3105.6971630808453
96.0,1985.0,24.0,3064.0,,,False,1985.0,1598.5764757656398,3121.048206389733
77.0,1845.0,21.0,3021.0,,,False,1845.0,1827.0028390294435,3302.4788098487643
70.0,1947.0,34.0,3175.0,,,False,1947.0,1898.3674243685748,3232.711778870971
82.0,1772.0,19.0,3041.0,,,False,1772.0,1863.3701442094089,3174.1001915311504
68.0,1681.0,24.0,3058.0,,,False,1681.0,1749.2551194896391,3130.1440448510293
83.0,1685.0,30.0,2990.0,,,False,1685.0,1800.7764639751551,3118.2040545093364
88.0,1689.0,28.0,3328.0,,,False,1689.0,1771.5262674659143,3178.765152862436
78.0,1592.0,26.0,3334.0,,,False,1592.0,1725.2072877556263,3099.6543864689424
74.0,1624.0,32.0,3284.0,,,False,1624.0,1785.3588304964865,3109.8453804722253
90.0,1827.0,35.0,3314.0,,,False,1827.0,1913.639924329191,3142.975482152392
88.0,1697.0,35.0,3103.0,,,False,1697.0,1737.880440387556,3099.4146750706473
